"sample.rownumbers"	"ID"	"RNO"	"TI"	"Author.Keywords"	"Keywords.Plus"	"Wiki.cats"	"Topic"	"TM.Keywords"
"1"	64	1613680	70	"Compressing and Indexing Labeled Trees, with Applications"	"Algorithms; Design; Experimentation; Theory; Burrows-Wheeler transform; labeled tree compression; labeled tree indexing; path searching; tree navigation; XML compression; XML indexing"	"SUCCINCT REPRESENTATIONS; SPACE REQUIREMENT; XML"	"Database ; Reliability engineering ; Computational complexity theory"	51	"p ; noise ; in ; w ; conflicts"
"2"	70	1568321	76	"The Complexity of Query Containment in Expressive Fragments of XPath 2.0"	"Languages; Algorithms; XML; XPath; containment; satisfiability; complexity"	"CONSTRAINTS; LOGIC"	"Programming language ; Database ; Computational complexity theory"	36	"systems ; system ; logic ; languages ; shared"
"3"	126	1314691	135	"On counting homomorphisms to directed acyclic graphs"	"algorithms; theory; counting; directed acyclic graphs; homomorphisms"	"COMPLEXITY"	"Computational complexity theory ; Mathematical logic"	0	"configuration ; strongest ; nondeterminism ; iterative ; markov"
"4"	134	1219098	144	"On the maximum satisfiability of random formulas"	"theory; maximum satisfiability"	"THRESHOLD; SAT"	"Formal language ; Information theory ; Analysis of algorithms"	51	"d ; formulas ; tree ; trees ; formula"
"5"	203	1059516	217	"Simple extractors for all min-entropies and a new pseudorandom generator"	"hardness versus randomness; pseudorandom generator; randomness extractor"	"FINITE-FIELDS; PRIMITIVE ROOTS; RANDOMNESS; COMPLEXITY; EXPANDERS; HIERARCHY; ERROR; SPACE; CODES; TIME"	"Computational complexity theory ; Information theory ; Integrated circuit"	31	"n ; log ; r ; t ; s"
"6"	282	581775	321	"Formal verification of standards for distance vector routing protocols"	"design; reliability; theory; verification; formal verification; routing protocols; network standards; distance vector routing; RIP; AODV; interactive theorem proving; HOL; model checking; SPIN"	"MODEL"	"Computer network ; Mathematical logic ; Formal methods ; Database ; Information retrieval"	23	"networks ; network ; routing ; policies ; policy"
"7"	304	502103	344	"A model of multimedia information retrieval"	"description logics; fuzzy logics; multimedia information retrieval"	"IMAGE RETRIEVAL; RELEVANCE FEEDBACK; DESCRIPTION LOGICS; DOCUMENTS; SYSTEMS; PERSPECTIVE; SIMILARITY; DATABASES; COLOR; SHAPE"	"Database ; Information retrieval ; Formal methods ; Image processing ; Mathematical logic"	51	"d ; formulas ; tree ; trees ; formula"
"8"	353	347482	395	"Balanced sequences and optimal routing"	"balanced sequences; multimodularity; optimal control; stochastic event graphs"	"POLICIES"	"Discrete mathematics ; Computer network ; Computer simulation ; Computational complexity theory"	23	"networks ; network ; routing ; policies ; policy"
"9"	452	256311	501	"On the completeness of object-creating database transformation languages"	"computational completeness; constructive transformation; first-order logic; object creation; object-oriented database; relational database; while loop"	"QUERY LANGUAGES; COMPLEX OBJECTS; MODEL"	"Database ; Mathematical logic ; Programming language"	36	"systems ; system ; logic ; languages ; shared"
"10"	589	146613	640	"IP = PSPACE - SIMPLIFIED PROOF"	"THEORY; INTERACTIVE PROOFS; PSPACE"	""	"Mathematical logic ; Operating system"	0	"configuration ; strongest ; nondeterminism ; iterative ; markov"
